Language,original,english,german,chinesesimp,chinese,russian,czech,polish,hungarian,italian,spanish,french,portuguese,japanese,
"you_can_not_answer_this_message_missing_sender_id","You can not answer this message. Missing sender id.","You can not answer this message. Missing sender id.","Sie können diese Nachricht nicht beantworten. Fehlende Absender-ID.","您无法回答此消息。缺少发件人ID。","您無法回答此消息。缺少發件人ID。","Вы не можете ответить на это сообщение. Отсутствует идентификатор отправителя.","Nemůžete odpovědět na tuto zprávu. Chybějící ID odesílatele.","Nie możesz odpowiedzieć na tę wiadomość. Brakujące ID nadawcy.","Nem válaszolhat erre az üzenetre. Hiányzó feladó azonosító.","Non puoi rispondere a questo messaggio. ID mittente mancante.","No puedes responder este mensaje. Falta el ID del remitente.","Vous ne pouvez pas répondre à ce message. ID de l'expéditeur manquant.","Você não pode responder a esta mensagem. Falta o ID do remetente.","このメッセージには返信できません。送信者IDがありません。",
"recipient_is_not_online_you_can_not_answer","Recipient is not online,you can not answer.","Recipient is not online,you can not answer.","Empfänger ist nicht online, Sie können nicht antworten.","收件人不在线，您无法回答。","收件人不在線，您無法回答。","Получатель не в сети, вы не можете ответить.","Příjemce není online, nemůžete odpovědět.","Odbiorca nie jest online, nie możesz odpowiedzieć.","A címzett nem online, nem válaszolhat.","Il destinatario non è online, non puoi rispondere.","El destinatario no está en línea, no puedes responder.","Le destinataire n'est pas en ligne, vous ne pouvez pas répondre.","O destinatário não está online, você não pode responder.","受信者がオンラインでないため、返信できません。",
"inbox","Inbox","Inbox","Posteingang","收件箱","收件箱","Входящие","Doručené","Odebrane","Beérkezett","Posta in arrivo","Bandeja de entrada","Boîte de réception","Caixa de entrada","受信トレイ",
"outbox","Outbox","Outbox","Postausgang","发件箱","發件箱","Исходящие","Odchozí","Wysłane","Kimenő","Posta in uscita","Bandeja de salida","Boîte d'envoi","Caixa de saída","送信トレイ",
"you_are_not_the_owner_can_not_change","You are not the owner, you can not change it.","You are not the owner, you can not change it.","Sie sind nicht der Besitzer, Sie können es nicht ändern.","您不是所有者，无法更改。","您不是所有者，無法更改。","Вы не владелец, вы не можете его изменить.","Nejste vlastník, nemůžete to změnit.","Nie jesteś właścicielem, nie możesz tego zmienić.","Nem vagy a tulajdonos, nem változtathatod meg.","Non sei il proprietario, non puoi cambiarlo.","No eres el propietario, no puedes cambiarlo.","Vous n'êtes pas le propriétaire, vous ne pouvez pas le changer.","Você não é o proprietário, não pode mudar.","所有者ではないため、変更できません。",
"player_was_not_found","Player was not found.","Player was not found.","Spieler wurde nicht gefunden.","玩家未找到。","玩家未找到。","Игрок не найден.","Hráč nebyl nalezen.","Gracz nie został znaleziony.","A játékost nem találták.","Il giocatore non è stato trovato.","Jugador no encontrado.","Joueur non trouvé.","Jogador não encontrado.","プレイヤーが見つかりませんでした。",
"owner_has_changed","Owner has changed.","Owner has changed.","Besitzer wurde geändert.","所有者已更改。","所有者已更改。","Владелец изменился.","Vlastník byl změněn.","Właściciel został zmieniony.","A tulajdonos megváltozott.","Il proprietario è cambiato.","El propietario ha cambiado.","Le propriétaire a changé.","O proprietário mudou.","所有者が変更されました。",
"change_owner_to","Change owner to","Change owner to","Besitzer wechseln zu","更改所有者为","更改所有者為","Сменить владельца на","Změnit vlastníka na","Zmiana właściciela na","Tulajdonos cseréje erre","Cambiare proprietario in","Cambio de propietario a","Changer de propriétaire à","Alterar proprietário para","所有者を変更する",
"change_owner","Change owner","Change owner","Besitzer wechseln","更改所有者","更改所有者","Сменить владельца","Změnit vlastníka","Zmiana właściciela","Tulajdonos cseréje","Cambiare proprietario","Cambio de propietario","Changer de propriétaire","Alterar proprietário","所有者を変更",
"one_shop_is_already_robt_take_the_money_there","One shop has already been robbed. Take the money from this shop.","One shop has already been robbed. Take the money from this shop.","Ein Geschäft wurde bereits ausgeraubt. Nehmen Sie das Geld aus diesem Geschäft.","已经有一家商店被抢劫。 从这家商店拿钱。","已經有一家商店被搶劫。 從這家商店拿錢。","Один магазин уже был ограблен. Возьмите деньги из этого магазина.","Jedna prodejna již byla oloupena. Vezměte peníze z této prodejny.","Jedna z sklepów została już obrabowana. Weź pieniądze z tego sklepu.","Egy bolt már kirabolt. Vegye ki a pénzt ebből a boltból.","Un negozio è già stato derubato. Prendi i soldi da questo negozio.","Una tienda ya ha sido robada. Toma el dinero de esta tienda.","Un magasin a déjà été cambriolé. Prenez l'argent de ce magasin.","Uma loja já foi roubada. Pegue o dinheiro desta loja.","一家商店已经被抢劫。 从这家商店拿钱。",
"there_is_one_shop_robbery_run_at_the_moment","There is already one shop robbery at the moment. You cant start it.","There is already one shop robbery at the moment. You cant start it.","Es gibt bereits einen Ladenüberfall im Moment. Sie können es nicht starten.","目前已经有一家商店被抢劫。 你不能开始。","目前已經有一家商店被搶劫。 你不能開始。","В настоящее время уже идет одно ограбление магазина. Вы не можете начать его.","V tuto chvíli již běží jedna loupež obchodu. Nemůžete ji spustit.","W tej chwili trwa już jedno włamanie do sklepu. Nie możesz go uruchomić.","Jelenleg egy bolti rablás folyik. Nem indíthatja el.","Al momento c'è già un negozio in corso. Non puoi iniziarlo.","Ya hay un robo de tienda en este momento. No puedes comenzarlo.","Il y a déjà un vol de magasin en cours. Vous ne pouvez pas le démarrer.","Já há um roubo de loja em andamento. Você não pode iniciá-lo.","現在すでに1つの店舗強盗が進行中です。 開始できません。",
"rob_raid_was_started","Shop raid was started","Shop raid was started","Ladenüberfall wurde gestartet","商店抢劫已经开始","商店搶劫已經開始","Начато ограбление магазина","Začal loupež obchodu","Rajd na sklep został rozpoczęty","A bolti rajt elkezdődött","La rapina in negozio è iniziata","El robo de la tienda ha comenzado","Le raid du magasin a commencé","O roubo da loja foi iniciado","店舗強盗が開始されました",
"max_money_for_shop_rob_reached_take_fast_the_money","Maximum loot for the shop robbery has been reached. Take the money.","Maximum loot for the shop robbery has been reached. Take the money.","Das maximale Geld für den Ladenüberfall wurde erreicht. Nimm das Geld.","已达到商店抢劫的最大战利品。 拿钱。","已達到商店搶劫的最大戰利品。 拿錢。","Достигнут максимум добычи для ограбления магазина. Возьмите деньги.","Bylo dosaženo maximální kořisti pro loupež obchodu. Vezměte si peníze.","Osiągnięto maksymalną zdobycz dla napadu na sklep. Weź pieniądze.","Elérte a bolti rablás maximális zsákmányát. Vegye el a pénzt.","È stato raggiunto il massimo bottino per la rapina in negozio. Prendi i soldi.","Se ha alcanzado el botín máximo para el robo de la tienda. Toma el dinero.","Le butin maximum pour le vol de magasin a été atteint. Prenez l'argent.","A pilhagem máxima para o roubo da loja foi atingida. Pegue o dinheiro.","店舗強盗の最大戦利品が達成されました。 お金を取りなさい。",
"rob_raid_was_started_raider","Shop raid was started, stay at position for raid is complete message. But you can take everytime the money and raid will stop.","Shop raid was started, stay at position for raid is complete message. But you can take everytime the money and raid will stop.","Ladenüberfall wurde gestartet, bleiben Sie an der Position für die Nachricht über den Abschluss des Raubüberfalls. Aber Sie können jederzeit das Geld nehmen und der Raubüberfall wird gestoppt.","商店抢劫已经开始，留在位置上等待抢劫完成消息。 但您可以随时拿钱，抢劫将停止。","商店搶劫已經開始，留在位置上等待搶劫完成消息。 但您可以隨時拿錢，搶劫將停止。","Начато ограбление магазина, оставайтесь на позиции до завершения сообщения об окончании ограбления. Но вы можете взять деньги в любое время, и ограбление прекратится.","Rajd na obchod został rozpoczęty, zatrzymaj się na pozycji, aby wiadomość o zakończeniu rajdu była kompletna. Ale możesz wziąć pieniądze w dowolnym momencie, a rajd się zatrzyma.","Rajd na sklep został rozpoczęty, zatrzymaj się na pozycji, aby wiadomość o zakończeniu rajdu była kompletna. Ale możesz wziąć pieniądze w dowolnym momencie, a rajd się zatrzyma.","A bolti rajt elkezdődött, maradjon a helyén, amíg a rajt befejező üzenete meg nem érkezik. De bármikor veheti a pénzt, és a rajt leáll.","La rapina in negozio è iniziata, rimani in posizione per il messaggio di completamento della rapina. Ma puoi prendere i soldi in qualsiasi momento e la rapina si fermerà.","El robo de la tienda ha comenzado, permanezca en la posición para que se complete el mensaje del robo. Pero puedes tomar el dinero en cualquier momento y el robo se detendrá.","Le raid du magasin a commencé, restez en position pour que le message de fin de raid soit complet. Mais vous pouvez prendre l'argent à tout moment et le raid s'arrêtera.","O roubo da loja foi iniciado, fique na posição para a mensagem de conclusão do roubo. Mas você pode pegar o dinheiro a qualquer momento e o roubo será interrompido.","店舗強盗が開始されました。強盗完了メッセージの位置にとどまります。 ただし、いつでもお金を取ることができ、強盗は停止します。",
"police_was_informed_that_you_raid_the_shop","Cops was informed, that you raid the shop.","Cops was informed, that you raid the shop.","Die Polizei wurde informiert, dass Sie den Laden überfallen.","警察被告知，您抢劫了商店。","警察被告知，您搶劫了商店。","Полиция была проинформирована, что вы ограбили магазин.","Policie byla informována, že jste přepadli obchod.","Policja została poinformowana, że napadasz sklep.","A rendőrséget értesítették, hogy kirabolta az üzletet.","La polizia è stata informata che hai rapinato il negozio.","La policía fue informada de que robaste la tienda.","La police a été informée que vous avez volé le magasin.","A polícia foi informada de que você roubou a loja.","警察には、あなたが店を襲ったことが通知されました。",
"shop_is_raided_by_sender","A shop is robt by:",A shop is robt by:,"Ein Geschäft wird von überfallen:","商店被抢劫：","商店被搶劫者：","Магазин ограблен:","Obchod je oloupen:","Sklep jest obrabowany przez:","Egy boltot kirabolt:","Un negozio è stato derubato da:","Una tienda es robada por:","Un magasin est cambriolé par:","Uma loja é roubada por:","店铺被发送者抢劫：",
"you_can_not_take_the_money_wrong_position","You can't take the loot here, wrong shop.","You can't take the loot here, wrong shop.","Sie können die Beute hier nicht nehmen, falscher Laden.","您不能在这里拿走战利品，错误的商店。","您不能在這裡拿走戰利品，錯誤的商店。","Вы не можете взять добычу здесь, неправильный магазин.","Tady nemůžete vzít kořist, špatný obchod.","Nie możesz tu zabrać łupu, zły sklep.","Itt nem veheti el a zsákmányt, rossz bolt.","Non puoi prendere il bottino qui, negozio sbagliato.","No puedes tomar el botín aquí, tienda equivocada.","Vous ne pouvez pas prendre le butin ici, mauvais magasin.","Você não pode pegar o saque aqui, loja errada.","あなたはここで戦利品を取ることはできません、間違った店です。",
"there_is_no_money_to_take","There is no money to take. Start a robbery first.","There is no money to take. Start a robbery first.","Es gibt kein Geld zum Mitnehmen. Starten Sie zuerst einen Raubüberfall.","没有钱可拿。 首先开始抢劫。","沒有錢可拿。 首先開始搶劫。","Денег нет. Сначала начните ограбление.","Není žádné peníze k sebrání. Nejprve začněte loupež.","Nie ma pieniędzy do zabrania. Najpierw rozpocznij napad.","Nincs pénz elvételre. Először indíts egy rablást.","Non c'è denaro da prendere. Inizia prima una rapina.","No hay dinero para llevar. Comience un robo primero.","Il n'y a pas d'argent à prendre. Commencez d'abord un vol.","Não há dinheiro para pegar. Comece um roubo primeiro.","取るお金はありません。 まず強盗を開始してください。",
"there_is_one_bank_robbery_run_at_the_moment", "There is already one bank robbery at the moment. You cant start it.","There is already one bank robbery at the moment. You cant start it.","Es gibt bereits einen Banküberfall im Moment. Sie können es nicht starten.","目前已经有一家银行抢劫。 你不能开始。","目前已經有一家銀行搶劫。 你不能開始。","В настоящее время уже идет одно ограбление банка. Вы не можете начать его.","V tuto chvíli již běží jedna loupež banky. Nemůžete ji spustit.","W tej chwili trwa już jedno włamanie do banku. Nie możesz go uruchomić.","Jelenleg egy bankrablás folyik. Nem indíthatja el.","Al momento c'è già un banco in corso. Non puoi iniziarlo.","Ya hay un robo a un banco en este momento. No puedes comenzarlo.","Il y a déjà un braquage de banque en cours. Vous ne pouvez pas le démarrer.","Já há um roubo a banco em andamento. Você não pode iniciá-lo.","現在すでに1つの銀行強盗が進行中です。 開始できません。",
"rob_shop","Rob Shop","Rob Shop","Shop überfallen","抢劫商店","搶劫商店","Ограбить магазин","Oloupit obchod","Okradnij sklep","Bolt kirablása","Derubare negozio","Robar tienda","Cambrioler le magasin","Roubar loja","店を強奪",
"rob_raid_was_stopped","Shop raid was stopped","Shop raid was stopped","Ladenüberfall wurde gestoppt","商店抢劫已停止","商店搶劫已停止","Ограбление магазина было остановлено","Rajd na obchod byl zastaven","Rajd na sklep został zatrzymany","A bolti rajt leállt","La rapina in negozio è stata interrotta","El robo de la tienda fue detenido","Le raid du magasin a été arrêté","O roubo da loja foi interrompido","店舗強盗は停止されました",
"raid_can_started_earliest_in","Raid can started earliest in","Raid can started earliest in","Raid kann frühestens gestartet werden in","突袭可以在最早开始","突襲可以在最早開始","Рейд может начаться раньше всего в","Raid může začít nejpozději za","Nalot można rozpocząć najwcześniej za","A rajt legkorábban elkezdődhet","Il raid può iniziare al più presto in","El asalto puede comenzar más temprano en","Le raid peut commencer au plus tôt dans","O assalto pode começar mais cedo em","RAIDは最も早く開始できます",
"seconds","seconds","seconds","Sekunden","秒","秒","секунд","sekund","sekund","másodperc","secondi","segundos","secondes","segundos","秒",
"raid_can_not_start_to_less_cops","Raid can not start,to less cops on duty","Raid can not start,to less cops on duty","Raid kann nicht starten, zu wenig Polizisten im Dienst","突袭不能开始，值班警察太少","突襲不能開始，值班警察太少","Рейд не может начаться, если на службе слишком мало полицейских","Raid nemůže začít, pokud je na službě málo policistů","Nalot nie może się rozpocząć, jeśli na służbie jest za mało policjantów","A rajt nem indulhat el, ha kevés rendőr van szolgálatban","Il raid non può iniziare, se ci sono pochi poliziotti in servizio","El asalto no puede comenzar, si hay pocos policías de guardia","Le raid ne peut pas commencer, s'il y a moins de flics de garde","O assalto não pode começar, se houver poucos policiais de plantão","警察が少なすぎるため、強奪を開始できません",
"one_bank_rob_is_already_started","A bank robbery has already been started. Shop robbery cannot be started.","A bank robbery has already been started. Shop robbery cannot be started.","Ein Bankraub wurde bereits gestartet. Ein Ladenraub kann nicht gestartet werden.","一家银行抢劫已经开始。 无法开始抢劫商店。","一家銀行搶劫已經開始。 無法開始搶劫商店。","Ограбление банка уже началось. Ограбление магазина не может быть начато.","Loupež banky již byla zahájena. Loupež obchodu nemůže být zahájena.","Jedno obrabování banky již bylo zahájeno. Loupež obchodu nemůže být zahájena.","Egy bankrablás már megkezdődött. A bolti rablás nem indítható el.","Un rapina in banca è già stata avviata. Il furto in negozio non può essere avviato.","Un robo de banco ya ha sido iniciado. No se puede iniciar el robo de una tienda.","Un vol de banque a déjà été commencé. Le vol de magasin ne peut pas être commencé.","Um roubo de banco já foi iniciado. O roubo de loja não pode ser iniciado.","銀行強盗はすでに始まっています。 店の強盗は開始できません。",
"one_shop_rob_is_already_started","A shop robbery has already been started. Bank robbery cannot be started.","A shop robbery has already been started. Bank robbery cannot be started.","Ein Ladenraub wurde bereits gestartet. Ein Bankraub kann nicht gestartet werden.","一家商店抢劫已经开始。 无法开始抢劫银行。","一家商店搶劫已經開始。 無法開始搶劫銀行。","Ограбление магазина уже началось. Ограбление банка не может быть начато.","Loupež obchodu již byla zahájena. Loupež banky nemůže být zahájena.","Jedno obrabování obchodu již bylo zahájeno. Loupež banky nemůže být zahájena.","Egy bolti rablás már megkezdődött. A bankrablás nem indítható el.","Un furto in negozio è già stato avviato. Il furto in banca non può essere avviato.","Un robo de tienda ya ha sido iniciado. No se puede iniciar el robo de un banco.","Un vol de magasin a déjà été commencé. Le vol de banque ne peut pas être commencé.","Um roubo de loja já foi iniciado. O roubo de banco não pode ser iniciado.","店舗強盗はすでに始まっています。 銀行強盗は開始できません。",
"create_ticket","Create ticket","Create ticket","Ticket erstellen","创建票据","創建票證","Создать билет","Vytvořit lístek","Utwórz bilet","Jegy létrehozása","Crea biglietto","Crear ticket","Créer un ticket","Criar bilhete","チケットを作成",
"create_ticket_menu","Create ticket","Create ticket","Ticket erstellen","创建票据","創建票證","Создать билет","Vytvořit lístek","Utwórz bilet","Jegy létrehozása","Crea biglietto","Crear ticket","Créer un ticket","Criar bilhete","チケットを作成",
"ticket_reason","Reason","Reason","Grund","原因","原因","Причина","Důvod","Powód","Ok","Motivo","Motivo","Raison","Motivo","理由",
"ticket_fine","Fine","Fine","Strafe","罚款","罰款","Штраф","Pokuta","Mandat","Bírság","Multa","Multa","Amende","Multa","罰金",
"you_got_a_ticket","You got a ticket","You got a ticket","Sie haben ein Ticket erhalten","您收到了一张票","您收到了一張票","Вы получили штраф","Dostali jste pokutu","Dostałeś mandat","Kaptál egy büntetést","Hai ricevuto una multa","Has recibido una multa","Vous avez reçu une amende","Você recebeu uma multa","あなたはチケットを受け取りました",
"you_gave_a_player_a_ticket","You gave a player a ticket","You gave a player a ticket","Sie haben einem Spieler ein Ticket gegeben","您给了一个玩家一张票","您給了一個玩家一張票","Вы дали игроку билет","Dal jste hráči lístek","Dałeś graczowi bilet","Egy játékosnak adott egy jegyet","Hai dato un biglietto a un giocatore","Le diste un ticket a un jugador","Vous avez donné un ticket à un joueur","Você deu um bilhete a um jogador","プレイヤーにチケットを渡しました",
"give_a_ticket","Give a ticket","Give a ticket","Ein Ticket geben","给一张票","給一張票","Дать билет","Dát lístek","Daj bilet","Jegyet ad","Dai un biglietto","Dar un ticket","Donner un ticket","Dar um bilhete","チケットを渡す",
"no_ticket_selected","No ticket selected.","No ticket selected.","Kein Ticket ausgewählt.","没有选择票据。","沒有選擇票證。","Нет выбранного билета.","Není vybrán žádný lístek.","Nie wybrano biletu.","Nincs kiválasztott jegy.","Nessun biglietto selezionato.","Ningún ticket seleccionado.","Aucun billet sélectionné.","Nenhum bilhete selecionado.","チケットが選択されていません。",
"ticket_was_paid","Ticket was paid.","Ticket was paid.","Ticket wurde bezahlt.","票已支付。","票已支付。","Билет был оплачен.","Lístek byl zaplacen.","Bilet został opłacony.","A jegy kifizetve.","Il biglietto è stato pagato.","El billete fue pagado.","Le billet a été payé.","O bilhete foi pago.","チケットは支払われました。",
"pay_ticket","Pay ticket","Pay ticket","Ticket bezahlen","支付票据","支付票證","Оплатить билет","Zaplatit lístek","Zapłać bilet","Jegy fizetése","Paga il biglietto","Pagar el billete","Payer le ticket","Pagar bilhete","チケットを支払う",
"reason","Reason","Reason","Grund","原因","原因","Причина","Důvod","Powód","Ok","Motivo","Motivo","Motif","Motivo","理由",
"dunning_fee","Dunning fee","Dunning fee","Mahngebühr","催款费","催款費","Сумма сбора за проезд","Poplatek za dunning","Opłata za wydalenie","Emlékeztetési díj","Tassa di stordimento","Tasa de reclamación","Frais de relance","Taxa de cobrança","罰金",
"date","Date","Date","Datum","日期","日期","Дата","Datum","Data","Dátum","Data","Fecha","Date","Data","日付",
"count","Count","Count","Anzahl","计数","計數","Количество","Počet","Ilość","Darabszám","Contare","Contar","Compter","Contar","カウント",
"value","Value","Value","Wert","价值","值","Значение","Hodnota","Wartość","Érték","Valore","Valor","Valeur","Valor","値",
"cop_panel","Cop Internal","Cop Internal","Polizei intern","警察内部","警察內部","Коп внутренний","Policie interní","Policja wewnętrzna","Rendőr belső","Polizia interna","Policía interna","Flic interne","Polícia interna","警察内部",
"Cop_Rank","Available Cop Ranks","Available Cop Ranks","Verfügbare Polizei Ränge","可用的警察等级","可用的警察等級","Доступные ранги копов","Dostupné hodnosti policie","Dostępne stopnie policji","Rendelkezésre álló rendőr rangok","Gradi di polizia disponibili","Rangos de policía disponibles","Rangs de flics disponibles","Classificações de polícia disponíveis","利用可能な警察ランク",
"Medic_Rank","Available Medic Ranks","Available Medic Ranks","Verfügbare Sanitäter Ränge","可用的医疗人员等级","可用的醫療人員等級","Доступные ранги медиков","Dostupné hodnosti zdravotníků","Dostępne stopnie medyczne","Rendelkezésre álló mentő rangok","Gradi medici disponibili","Rangos de médicos disponibles","Rangs de médecins disponibles","Classificações de médicos disponíveis","利用可能な医療人員ランク",
"Army_Rank","Available Army Ranks","Available Army Ranks","Verfügbare Armee Ränge","可用的军衔","可用的軍階","Доступные ранги армии","Dostupné hodnosti armády","Dostępne stopnie wojska","Rendelkezésre álló hadsereg rangok","Gradi dell'esercito disponibili","Rangos del ejército disponibles","Rangs de l'armée disponibles","Classificações do exército disponíveis","利用可能な軍隊ランク",
"Rank","Current Rank","Current Rank","Aktueller Rang","当前等级","當前等級","Текущий ранг","Aktuální hodnost","Obecny stopień","Jelenlegi rang","Grado attuale","Rango actual","Rang actuel","Classificação atual","現在のランク",
"Army_list","Army list","Army list","Armee Liste","军队列表","軍隊列表","Список армии","Seznam armády","Lista armii","Hadsereg lista","Elenco dell'esercito","Lista del ejército","Liste de l'armée","Lista do exército","軍隊リスト",
"Army","army","Army","Armee","军队","軍隊","армия","armáda","wojsko","hadsereg","esercito","ejército","armée","exército","軍隊",
"FractionMenu","Faction Menu","Faction Menu","Fraktionsmenü","派别菜单","派系菜單","Меню фракции","Menu frakce","Menu frakcji","Frakció menü","Menu fazione","Menú de facción","Menu de faction","Menu de facção","派閥メニュー",
"Trader_Storage","Trader Storage","Trader Storage","Händlerlager","交易商存储","交易商存儲","Торговое хранилище","Obchodní sklad","Magazyn handlowy","Kereskedő tároló","Archivio commerciante","Almacenamiento de comerciante","Stockage de commerçant","Armazenamento de comerciante","トレーダーストレージ",
"Fraction_Cash","Faction Cash","Faction Cash","Fraktionsgeld","派别现金","派系现金","Деньги фракции","Peníze frakce","Pieniądze frakcji","Frakció készpénz","Denaro di fazione","Dinero de facción","Argent de faction","Dinheiro de facção","派閥キャッシュ",
"Store_in_Fraction","Park in Faction","Park in Faction","In Fraktion parken","停在派别","停在派系","Парковка во фракции","Parkování ve frakci","Parkowanie w frakcji","Parkolás a frakcióban","Parcheggia in Fazione","Estacionar en la facción","Stationner dans la faction","Estacionar na facção","派閥に駐車",
"unlimited","unlimited","unlimited","unbegrenzt","无限","無限","неограниченно","neomezeně","nieograniczony","korlátlan","illimitato","ilimitado","illimité","ilimitado","無制限",
"you_buy_too_much","You buy too much","You buy too much","Du kaufst zu viel","你买得太多了","你買太多了","ты купил слишком много","koupil jsi příliš mnoho","kupiłeś za dużo","túl sokat vásároltál","hai comprato troppo","compraste demasiado","tu as trop acheté","você comprou demais","買いすぎ",
"you_sell_too_much","You sell too much","You sell too much","Du verkaufst zu viel","你卖得太多了","你賣太多了","ты продал слишком много","prodáváte příliš mnoho","sprzedajesz za dużo","túl sokat adsz el","vendi troppo","vendes demasiado","tu vends trop","você vende demais","売りすぎ",
"Access_Bank_Account","Access Bank Account","Access Bank Account","Zugriff auf das Bankkonto","访问银行账户","訪問銀行帳戶","Доступ к банковскому счету","Přístup k bankovnímu účtu","Dostęp do konta bankowego","Hozzáférés a bankszámlához","Accesso al conto bancario","Acceso a la cuenta bancaria","Accès au compte bancaire","Acesso à conta bancária","銀行口座にアクセス",
"Get_Money_From_Bank","Get Money From Bank","Get Money From Bank","Geld von der Bank abheben","从银行取钱","從銀行取錢","Получить деньги из банка","Vzít peníze z banky","Weź pieniądze z banku","Pénzt vesz a bankból","Prendi i soldi dalla banca","Obtener dinero del banco","Obtenir de l'argent de la banque","Obter dinheiro do banco","銀行からお金を手に入れる",
"Access_Fraction_Garage","Access Faction Garage","Access Faction Garage","Zugang Fraktionsgarage","进入派别车库","訪問派系車庫","Доступ к гаражу фракции","Přístup do garáže frakce","Dostęp do garażu frakcji","Hozzáférés a frakció garázsához","Accedi al garage della fazione","Acceder al garaje de la facción","Accéder au garage de la faction","Acessar garagem de facção","派閥ガレージにアクセス",
"Fraction_Invitations","Faction Invitations","Faction Invitations","Fraktionseinladungen","派别邀请","派系邀請","Приглашения фракции","Pozvánky frakce","Zaproszenia frakcji","Frakció meghívások","Inviti di fazione","Invitaciones de facción","Invitations de faction","Convites de facção","派閥招待",
"Accept_Invitation","Accept Invitation","Accept Invitation","Einladung annehmen","接受邀请","接受邀請","Принять приглашение","Přijmout pozvánku","Akceptuj zaproszenie","Meghívás elfogadása","Accetta l'invito","Aceptar invitación","Accepter l'invitation","Aceitar convite","招待を受け入れる",
"Fraction_Leave","Faction Leave","Faction Leave","Fraktion verlassen","离开派别","離開派系","Покинуть фракцию","Opustit frakci","Opuść frakcję","Frakciót hagy","Lascia la fazione","Dejar facción","Quitter la faction","Deixar facção","派閥を去る",
"Create_Faction","Create Faction","Create Faction","Fraktion erstellen","创建派别","創建派系","Создать фракцию","Vytvořit frakci","Utwórz frakcję","Frakció létrehozása","Crea fazione","Crear facción","Créer une faction","Criar facção","派閥を作成",
"My_rights","My rights","My rights","Meine Rechte","我的权利","我的權利","Мои права","Moje práva","Moje prawa","Jogaim","I miei diritti","Mis derechos","Mes droits","Meus direitos","私の権利",
"Open_Invitations","Open Invitations","Open Invitations","Offene Einladungen","打开邀请","打開邀請","Открытые приглашения","Otevřené pozvánky","Otwarte zaproszenia","Nyitott meghívások","Inviti aperti","Invitaciones abiertas","Invitations ouvertes","Convites abertos","オープン招待",
"Fraction_Delete","Faction Delete","Faction Delete","Fraktion löschen","删除派别","刪除派系","Удалить фракцию","Odstranit frakci","Usuń frakcję","Frakció törlése","Elimina fazione","Eliminar facción","Supprimer la faction","Excluir facção","派閥を削除",
"car_can_only_stored_in_fraction_garage","Car can only stored in fraction garage","Car can only stored in fraction garage","Auto kann nur in der Fraktionsgarage abgestellt werden","汽车只能存放在派别车库","汽車只能存放在派系車庫","Автомобиль можно хранить только в гараже фракции","Auto lze uložit pouze do garáže frakce","Samochód można przechowywać tylko w garażu frakcji","Az autót csak a frakció garázsában lehet tárolni","L'auto può essere solo memorizzata nel garage della fazione","El coche solo se puede almacenar en el garaje de la facción","La voiture ne peut être stockée que dans le garage de la faction","O carro só pode ser armazenado na garagem da facção","車は派閥ガレージにのみ保存できます",
"Pay_out_Fraction","Pay out from Faction","Pay out from Faction","Auszahlung aus Fraktion","从派别支付","從派系支付","Выплата из фракции","Výplata z frakce","Wypłata z frakcji","Kifizetés a frakcióból","Pagamento dalla fazione","Pago de la facción","Paiement de la faction","Pagamento da facção","派閥から支払う",
"Cash_Transfer_Fraction","Cash transfer from Faction","Cash transfer from Faction","Geldtransfer von Fraktion","现金转移自派别","现金轉移自派系","Перевод денег от фракции","Převod hotovosti z frakce","Przelew gotówki z frakcji","Készpénzátutalás a frakcióból","Trasferimento di denaro dalla fazione","Transferencia de efectivo de la facción","Transfert d'argent de la faction","Transferência de dinheiro da facção","現金移轉自派閥",
"Deposit_Fraction","Deposit to Faction","Deposit to Faction","Einzahlen in Fraktionskasse","存入派别国库","存入派系資金","Внести в фонды фракции","Vložit do frakční pokladny","Wpłać do funduszy frakcji","Befizetés a frakció kasszájába","Deposita nei fondi della fazione","Depositar en fondos de facción","Déposer dans les fonds de faction","Depositar em fundos de facção","派閥基金に預ける",
"Privat","Privat","Privat","Privat","私人","私人","Частный","Soukromý","Prywatny","Magán","Privato","Privado","Privé","Privado","プライベート",
"Fraction","Fraction","Fraction","Fraktion","分数","派系","Фракция","Frakce","Frakcja","Frakció","Fazione","Facción","Fraction","Fração","分数",
"send_anonymous","send anonymous","send anonymous","Anonym senden","匿名发送","匿名發送","отправить анонимно","poslat anonymně","wyślij anonimowo","névtelen küldés","invia anonimo","enviar anónimo","envoyer anonymement","enviar anônimo","匿名で送信",
"send_contact","send contact","send contact","Kontakt senden","发送联系方式","发送联系方式","отправить контакт","poslat kontakt","wyślij kontakt","kapcsolatot küld","invia contatto","enviar contacto","envoyer le contact","enviar contato","連絡先を送信",
"contact_was_send","contact was send","contact was send","Kontakt wurde gesendet","联系方式已发送","聯繫方式已發送","контакт был отправлен","kontakt byl odeslán","kontakt został wysłany","a kapcsolatot elküldték","il contatto è stato inviato","el contacto fue enviado","le contact a été envoyé","o contato foi enviado","連絡先が送信されました",
"got_new_contact","you got a new contact","you got a new contact","Sie haben einen neuen Kontakt","你有一个新联系人","你有一個新聯繫人","У вас новый контакт","máte nový kontakt","masz nowy kontakt","új kapcsolatod van","hai un nuovo contatto","tienes un nuevo contacto","vous avez un nouveau contact","você tem um novo contato","新しい連絡先を取得しました",
